"","STUDENT_ALTERNATE_ID","SCHOOL_YEAR_ID","GRADE_CODE","GENDER_CODE","ENGLISH_LEARNER_STATUS_CODE","SOCIO_ECON_STATUS_CODE","expend_per_student","Ethnicity","percentWhite","percentSPED","percentFRL","corpWhite","corpSPED","corpFRL","schoolSize","PLACEMENT_TYPE","discipline","absent"
"1",11999147,2013,"03","M",0,"0",NA,"White",0.946886446886447,0.15018315018315,0.283882783882784,0.956342668863262,0.113673805601318,0.271828665568369,546,"0",0,2
"2",11999147,2014,"04","M",0,"0",NA,"White",0.961199294532628,0.142857142857143,0.306878306878307,0.959967320261438,0.116013071895425,0.266339869281046,567,"0",0,0
"3",11999147,2015,"05","M",0,"0",NA,"White",0.81419624217119,0.133611691022964,0.48643006263048,0.828456683878371,0.140562248995984,0.465289730349971,479,"0",0,1
"4",11999147,2016,"06","M",0,"0",NA,"White",0.81198347107438,0.152892561983471,0.518595041322314,0.823728813559322,0.148022598870057,0.507344632768362,484,"0",0,1
"5",11999147,2017,"07","M",0,"0",NA,"White",0.817204301075269,0.16989247311828,0.539784946236559,0.812642369020501,0.140660592255125,0.490888382687927,465,"0",2,0
"6",12171180,2013,"03","F",0,"0",NA,"White",0.946886446886447,0.15018315018315,0.283882783882784,0.956342668863262,0.113673805601318,0.271828665568369,546,"1",0,12
"7",12171180,2014,"04","F",0,"0",NA,"White",0.961199294532628,0.142857142857143,0.306878306878307,0.959967320261438,0.116013071895425,0.266339869281046,567,"1",0,6
"8",12171180,2015,"05","F",0,"0",NA,"White",0.951640759930915,0.139896373056995,0.267702936096718,0.954323001631321,0.110114192495922,0.249592169657423,579,"1",0,9
"9",12171180,2016,"06","F",0,"0",NA,"White",0.946236559139785,0.0501792114695341,0.268817204301075,0.940032414910859,0.102106969205835,0.255267423014587,279,"1",0,7.5
"10",12171180,2017,"07","F",0,"0",NA,"White",0.940520446096654,0.0594795539033457,0.24907063197026,0.934504792332268,0.0998402555910543,0.244408945686901,269,"1",0,12
"11",12171186,2013,"03","M",0,"0",NA,"White",0.946886446886447,0.15018315018315,0.283882783882784,0.956342668863262,0.113673805601318,0.271828665568369,546,"1",0,3
"12",12171186,2014,"04","M",0,"0",NA,"White",0.961199294532628,0.142857142857143,0.306878306878307,0.959967320261438,0.116013071895425,0.266339869281046,567,"1",0,4.5
"13",12171186,2015,"05","M",0,"0",NA,"White",0.951640759930915,0.139896373056995,0.267702936096718,0.954323001631321,0.110114192495922,0.249592169657423,579,"1",0,1.5
"14",12171186,2016,"06","M",0,"0",NA,"White",0.946236559139785,0.0501792114695341,0.268817204301075,0.940032414910859,0.102106969205835,0.255267423014587,279,"1",0,5
"15",12171186,2017,"07","M",0,"0",NA,"White",0.940520446096654,0.0594795539033457,0.24907063197026,0.934504792332268,0.0998402555910543,0.244408945686901,269,"1",0,3
"16",12171220,2013,"03","M",0,"1",NA,"White",0.946886446886447,0.15018315018315,0.283882783882784,0.956342668863262,0.113673805601318,0.271828665568369,546,"1",0,5
"17",12171220,2014,"04","M",0,"1",NA,"White",0.961199294532628,0.142857142857143,0.306878306878307,0.959967320261438,0.116013071895425,0.266339869281046,567,"1",0,0
"18",12171220,2015,"05","M",0,"1",NA,"White",0.951640759930915,0.139896373056995,0.267702936096718,0.954323001631321,0.110114192495922,0.249592169657423,579,"1",0,1
"19",12171220,2016,"06","M",0,"1",NA,"White",0.946236559139785,0.0501792114695341,0.268817204301075,0.940032414910859,0.102106969205835,0.255267423014587,279,"1",0,2
"20",12171220,2017,"07","M",0,"1",NA,"White",0.940520446096654,0.0594795539033457,0.24907063197026,0.934504792332268,0.0998402555910543,0.244408945686901,269,"1",0,0
"21",11738746,2013,"03","M",0,"1",NA,"White",0.820289855072464,0.208695652173913,0.605797101449275,0.829682365826944,0.14512595837897,0.494523548740416,345,"0",0,3
"22",11738746,2014,"04","M",0,"1",NA,"White",0.814024390243902,0.216463414634146,0.579268292682927,0.824631101021566,0.132803632236095,0.468785471055619,328,"1",0,11
"23",11738746,2015,"05","M",0,"1",NA,"White",0.81419624217119,0.133611691022964,0.48643006263048,0.828456683878371,0.140562248995984,0.465289730349971,479,"1",0,2
"24",11738746,2016,"06","M",0,"0",NA,"White",0.81198347107438,0.152892561983471,0.518595041322314,0.823728813559322,0.148022598870057,0.507344632768362,484,"1",0,3.5
"25",11738746,2017,"07","M",0,"1",NA,"White",0.817204301075269,0.16989247311828,0.539784946236559,0.812642369020501,0.140660592255125,0.490888382687927,465,"1",1,3
"26",11847251,2013,"03","F",0,"0",NA,"Hispanic",0.820289855072464,0.208695652173913,0.605797101449275,0.829682365826944,0.14512595837897,0.494523548740416,345,"1",0,5.5
"27",11847251,2014,"04","F",0,"0",NA,"Hispanic",0.814024390243902,0.216463414634146,0.579268292682927,0.824631101021566,0.132803632236095,0.468785471055619,328,"1",0,8
"28",11847251,2015,"05","F",0,"1",NA,"Hispanic",0.81419624217119,0.133611691022964,0.48643006263048,0.828456683878371,0.140562248995984,0.465289730349971,479,"1",0,6
"29",11847251,2016,"06","F",0,"1",NA,"Hispanic",0.81198347107438,0.152892561983471,0.518595041322314,0.823728813559322,0.148022598870057,0.507344632768362,484,"1",0,8
"30",11847251,2017,"07","F",0,"1",NA,"Hispanic",0.817204301075269,0.16989247311828,0.539784946236559,0.812642369020501,0.140660592255125,0.490888382687927,465,"1",0,4.5
"31",12062079,2013,"03","M",0,"1",NA,"White",0.820289855072464,0.208695652173913,0.605797101449275,0.829682365826944,0.14512595837897,0.494523548740416,345,"1",0,2
"32",12062079,2014,"04","M",0,"1",NA,"White",0.814024390243902,0.216463414634146,0.579268292682927,0.824631101021566,0.132803632236095,0.468785471055619,328,"1",0,1
"33",12062079,2015,"05","M",0,"1",NA,"White",0.81419624217119,0.133611691022964,0.48643006263048,0.828456683878371,0.140562248995984,0.465289730349971,479,"1",0,1
"34",12062079,2016,"06","M",0,"1",NA,"White",0.81198347107438,0.152892561983471,0.518595041322314,0.823728813559322,0.148022598870057,0.507344632768362,484,"1",0,1
"35",12062079,2017,"07","M",0,"1",NA,"White",0.817204301075269,0.16989247311828,0.539784946236559,0.812642369020501,0.140660592255125,0.490888382687927,465,"1",0,2
"36",12073229,2013,"03","M",0,"1",NA,"White",0.820289855072464,0.208695652173913,0.605797101449275,0.829682365826944,0.14512595837897,0.494523548740416,345,"0",0,12
"37",12073229,2014,"04","M",0,"1",NA,"White",0.80564263322884,0.161562575355679,0.344345309862551,0.80564263322884,0.161562575355679,0.344345309862551,4147,"0",0,15.5
"38",12073229,2015,"05","M",0,"1",NA,"White",0.81419624217119,0.133611691022964,0.48643006263048,0.828456683878371,0.140562248995984,0.465289730349971,479,"0",0,13.5
"39",12073229,2016,"06","M",0,"1",NA,"White",0.81198347107438,0.152892561983471,0.518595041322314,0.823728813559322,0.148022598870057,0.507344632768362,484,"1",0,14.5
"40",12073229,2017,"07","M",0,"1",NA,"White",0.817204301075269,0.16989247311828,0.539784946236559,0.812642369020501,0.140660592255125,0.490888382687927,465,"1",0,8
"41",12084018,2013,"03","M",0,"0",NA,"White",0.820289855072464,0.208695652173913,0.605797101449275,0.829682365826944,0.14512595837897,0.494523548740416,345,"1",0,12
