"","STUDENT_ALTERNATE_ID","SCHOOL_YEAR_ID","GRADE_CODE","GENDER_CODE","ENGLISH_LEARNER_STATUS_CODE","SOCIO_ECON_STATUS_CODE","Ethnicity","percentWhite","percentSPED","percentFRL","schoolSize","PLACEMENT_TYPE","discLength","discCount","absent"
"46",12169852,2013,"03","M",0,"1","White",0.860162601626016,0.120325203252033,0.515447154471545,615,"0",0,0,4
"47",12169852,2014,"04","M",0,"1","Hispanic",0.821070234113712,0.133779264214047,0.498327759197324,598,"1",0,0,7.5
"48",12169852,2015,"05","M",0,"1","White",0.838998211091234,0.13953488372093,0.481216457960644,559,"0",0,0,13.5
"49",12169852,2016,"06","M",0,"1","White",0.843260188087774,0.112852664576803,0.445141065830721,319,"1",0,0,10
"50",12169852,2017,"07","M",0,"1","White",0.838709677419355,0.109677419354839,0.438709677419355,310,"1",3,3,10
"51",12073132,2013,"03","F",0,"0","White",0.869565217391304,0.0662525879917184,0.194616977225673,483,"1",0,0,17
"52",12073132,2014,"04","F",0,"0","White",0.843298969072165,0.0618556701030928,0.202061855670103,485,"1",0,0,4.5
"53",12073132,2015,"05","F",0,"0","White",0.885658914728682,0.062015503875969,0.178294573643411,516,"1",0,0,9.5
"54",12073132,2016,"06","F",0,"0","White",0.833568406205924,0.0860366713681241,0.159379407616361,709,"0",0,0,3
"55",12073132,2017,"07","F",0,"0","White",0.827195467422096,0.0934844192634561,0.169971671388102,706,"1",0,0,10.5
"56",11965468,2013,"03","M",0,"1","White",0.794642857142857,0.0586734693877551,0.20280612244898,784,"1",0,0,5
"57",11965468,2014,"04","M",0,"1","White",0.791718946047679,0.0702634880803011,0.175658720200753,797,"1",1,1,7.5
"58",11965468,2015,"05","M",0,"1","White",0.375262054507338,0.220125786163522,0.737945492662474,477,"1",8,3,13.5
"59",11965468,2016,"06","M",0,"1","White",0.312159709618875,0.152450090744102,0.765880217785844,551,"1",38,24,16
"60",11965468,2017,"07","M",0,"1","White",0.344624447717231,0.182621502209131,0.617083946980854,679,"1",13,8,12
"61",12220830,2013,"03","M",0,"0","White",0.863905325443787,0.153846153846154,0.390532544378698,169,"1",0,0,13
"62",12220830,2014,"04","M",0,"0","White",0.876404494382023,0.146067415730337,0.382022471910112,178,"1",0,0,7
"63",12220830,2015,"05","M",0,"0","White",0.837209302325581,0.151162790697674,0.38953488372093,172,"1",0,0,3
"64",12220830,2016,"06","M",0,"0","White",0.948484848484848,0.140909090909091,0.225757575757576,660,"0",0,0,7
"65",12220830,2017,"07","M",0,"0","White",0.950155763239875,0.14797507788162,0.225856697819315,642,"1",0,0,2
"66",12086403,2013,"03","F",0,"1","White",0.914035087719298,0.164912280701754,0.326315789473684,570,"1",0,0,4
"67",12086403,2014,"04","F",0,"0","White",0.881918819188192,0.186346863468635,0.308118081180812,542,"1",0,0,3
"68",12086403,2015,"05","F",0,"0","White",0.886524822695035,0.152482269503546,0.319148936170213,564,"1",0,0,33.5
"69",12086403,2016,"06","F",0,"0","White",0.857744994731296,0.131717597471022,0.220231822971549,949,"1",0,0,18
"70",12086403,2017,"07","F",0,"0","White",0.857449088960343,0.138263665594855,0.211146838156484,933,"1",0,0,6.5
"71",12136972,2013,"03","F",0,"1","White",0.914035087719298,0.164912280701754,0.326315789473684,570,"1",0,0,6.5
"72",12136972,2014,"04","F",0,"1","White",0.881918819188192,0.186346863468635,0.308118081180812,542,"1",0,0,3
"73",12136972,2015,"05","F",0,"1","White",0.886524822695035,0.152482269503546,0.319148936170213,564,"1",0,0,5
"74",12136972,2016,"06","F",0,"1","White",0.857744994731296,0.131717597471022,0.220231822971549,949,"1",0,0,4
"75",12136972,2017,"07","F",0,"1","White",0.857449088960343,0.138263665594855,0.211146838156484,933,"1",0,0,8
"76",12138064,2013,"03","M",0,"0","White",0.914035087719298,0.164912280701754,0.326315789473684,570,"1",0,0,1
"77",12138064,2014,"04","M",0,"0","White",0.881918819188192,0.186346863468635,0.308118081180812,542,"1",0,0,0
"78",12138064,2015,"05","M",0,"0","White",0.886524822695035,0.152482269503546,0.319148936170213,564,"1",0,0,3
"79",12138064,2016,"06","M",0,"0","White",0.857744994731296,0.131717597471022,0.220231822971549,949,"1",0,0,5
"80",12138064,2017,"07","M",0,"0","White",0.857449088960343,0.138263665594855,0.211146838156484,933,"1",0,0,5
"81",12144973,2013,"03","F",0,"1","White",0.914035087719298,0.164912280701754,0.326315789473684,570,"0",0,0,17
"82",12144973,2014,"04","F",0,"1","White",0.82837528604119,0.221967963386728,0.160183066361556,437,"0",0,0,10.5
"83",12144973,2015,"05","F",0,"1","White",0.841860465116279,0.188372093023256,0.144186046511628,430,"0",0,0,19.5
"84",12144973,2016,"06","F",0,"0","White",0.857744994731296,0.131717597471022,0.220231822971549,949,"0",0,0,30
"85",12144973,2017,"07","F",0,"0","White",0.857449088960343,0.138263665594855,0.211146838156484,933,"0",0,0,22.5
"86",12220984,2013,"03","M",0,"1","White",0.914035087719298,0.164912280701754,0.326315789473684,570,"0",0,0,9
"87",12220984,2014,"04","M",0,"1","White",0.838834951456311,0.124271844660194,0.172815533980583,515,"0",0,0,7.5
"88",12220984,2015,"05","M",0,"1","White",0.846153846153846,0.116370808678501,0.175542406311637,507,"0",0,0,7.5
"89",12220984,2016,"06","M",0,"1","White",0.857744994731296,0.131717597471022,0.220231822971549,949,"0",0,0,8
"90",12220984,2017,"07","M",0,"1","White",0.857449088960343,0.138263665594855,0.211146838156484,933,"0",0,0,9
"91",12220990,2013,"03","F",0,"1","White",0.914035087719298,0.164912280701754,0.326315789473684,570,"0",0,0,13
"92",12220990,2014,"04","F",0,"1","White",0.881918819188192,0.186346863468635,0.308118081180812,542,"0",0,0,12
"93",12220990,2015,"05","F",0,"1","White",0.886524822695035,0.152482269503546,0.319148936170213,564,"0",0,0,11
"94",12220990,2016,"06","F",0,"1","White",0.857744994731296,0.131717597471022,0.220231822971549,949,"1",0,0,16
"95",12220990,2017,"07","F",0,"1","White",0.857449088960343,0.138263665594855,0.211146838156484,933,"0",0,0,18
"96",12221018,2013,"03","F",0,"0","White",0.914035087719298,0.164912280701754,0.326315789473684,570,"1",0,0,3
"97",12221018,2014,"04","F",0,"0","White",0.881918819188192,0.186346863468635,0.308118081180812,542,"1",0,0,0.5
"98",12221018,2015,"05","F",0,"0","White",0.886524822695035,0.152482269503546,0.319148936170213,564,"1",0,0,3
"99",12221018,2016,"06","F",0,"0","White",0.857744994731296,0.131717597471022,0.220231822971549,949,"1",0,0,0
"100",12221018,2017,"07","F",0,"0","White",0.857449088960343,0.138263665594855,0.211146838156484,933,"1",0,0,1
"101",12220740,2013,"03","M",0,"1","Hispanic",0.86652977412731,0.104722792607803,0.168377823408624,487,"1",0,0,8
"102",12220740,2014,"04","M",0,"1","Hispanic",0.858947368421053,0.105263157894737,0.162105263157895,475,"1",0,0,8
"103",12220740,2015,"05","M",0,"1","Hispanic",0.870103092783505,0.111340206185567,0.154639175257732,485,"1",0,0,9.5
"104",12220740,2016,"06","M",0,"1","Hispanic",0.844585987261147,0.0904458598726115,0.113375796178344,785,"1",0,0,9
"105",12220740,2017,"07","M",0,"0","Hispanic",0.845686512758202,0.0935601458080194,0.116646415552855,823,"1",0,0,14.5
"106",11741468,2013,"03","F",0,"0","Other",0.863291139240506,0.0835443037974684,0.0658227848101266,395,"1",0,0,4
"107",11741468,2014,"04","F",0,"0","Other",0.869346733668342,0.0904522613065327,0.0879396984924623,398,"1",0,0,4
"108",11741468,2015,"05","F",0,"0","Other",0.844339622641509,0.0636792452830189,0.0707547169811321,424,"1",0,0,5
"109",11741468,2016,"06","F",0,"0","Other",0.844585987261147,0.0904458598726115,0.113375796178344,785,"1",0,0,7
"110",11741468,2017,"07","F",0,"0","Other",0.845686512758202,0.0935601458080194,0.116646415552855,823,"1",0,0,2
"111",12083937,2013,"03","M",0,"0","White",0.863291139240506,0.0835443037974684,0.0658227848101266,395,"1",0,0,0
"112",12083937,2014,"04","M",0,"0","White",0.869346733668342,0.0904522613065327,0.0879396984924623,398,"1",0,0,1.5
"113",12083937,2015,"05","M",0,"0","White",0.844339622641509,0.0636792452830189,0.0707547169811321,424,"1",0,0,1.5
"114",12083937,2016,"06","M",0,"0","White",0.844585987261147,0.0904458598726115,0.113375796178344,785,"1",0,0,0
"115",12083937,2017,"07","M",0,"0","White",0.845686512758202,0.0935601458080194,0.116646415552855,823,"1",0,0,0
"116",12221466,2013,"03","F",0,"0","White",0.870689655172414,0.0969827586206897,0.0754310344827586,464,"1",0,0,14
"117",12221466,2014,"04","F",0,"0","White",0.868,0.086,0.092,500,"1",0,0,12
"118",12221466,2015,"05","F",0,"0","White",0.864646464646465,0.0747474747474747,0.0848484848484849,495,"1",0,0,16.5
"119",12221466,2016,"06","F",0,"0","White",0.844585987261147,0.0904458598726115,0.113375796178344,785,"1",0,0,16
"120",12221466,2017,"07","F",0,"0","White",0.845686512758202,0.0935601458080194,0.116646415552855,823,"1",0,0,13.5
"121",12351452,2013,"03","F",0,"0","White",0.870689655172414,0.0969827586206897,0.0754310344827586,464,"1",0,0,1
"122",12351452,2014,"04","F",0,"0","White",0.868,0.086,0.092,500,"1",0,0,1
"123",12351452,2015,"05","F",0,"0","White",0.864646464646465,0.0747474747474747,0.0848484848484849,495,"1",0,0,2.5
"124",12351452,2016,"06","F",0,"0","White",0.844585987261147,0.0904458598726115,0.113375796178344,785,"1",1,1,6
"125",12351452,2017,"07","F",0,"0","White",0.845686512758202,0.0935601458080194,0.116646415552855,823,"1",0,0,7.5
"126",12351455,2013,"03","M",0,"0","White",0.870689655172414,0.0969827586206897,0.0754310344827586,464,"1",0,0,4
"127",12351455,2014,"04","M",0,"0","White",0.868,0.086,0.092,500,"1",0,0,6
"128",12351455,2015,"05","M",0,"0","White",0.864646464646465,0.0747474747474747,0.0848484848484849,495,"1",0,0,7
"129",12351455,2016,"06","M",0,"0","White",0.844585987261147,0.0904458598726115,0.113375796178344,785,"1",0,0,4
"130",12351455,2017,"07","M",0,"0","White",0.845686512758202,0.0935601458080194,0.116646415552855,823,"1",0,0,4
"131",11797586,2013,"03","M",0,"0","White",0.837988826815642,0.143389199255121,0.19366852886406,537,"1",0,0,1
"132",11797586,2014,"04","M",0,"0","White",0.838834951456311,0.124271844660194,0.172815533980583,515,"1",0,0,0
"133",11797586,2015,"05","M",0,"0","White",0.846153846153846,0.116370808678501,0.175542406311637,507,"1",0,0,1
"134",11797586,2016,"06","M",0,"0","White",0.857744994731296,0.131717597471022,0.220231822971549,949,"1",0,0,1
"135",11797586,2017,"07","M",0,"0","White",0.857449088960343,0.138263665594855,0.211146838156484,933,"1",0,0,1
"136",12221487,2013,"03","M",0,"0","White",0.837988826815642,0.143389199255121,0.19366852886406,537,"1",0,0,0
"137",12221487,2014,"04","M",0,"0","White",0.838834951456311,0.124271844660194,0.172815533980583,515,"1",0,0,0
"138",12221487,2015,"05","M",0,"0","White",0.846153846153846,0.116370808678501,0.175542406311637,507,"1",0,0,0
"139",12221487,2016,"06","M",0,"0","White",0.857744994731296,0.131717597471022,0.220231822971549,949,"1",0,0,2
"140",12221487,2017,"07","M",0,"0","White",0.857449088960343,0.138263665594855,0.211146838156484,933,"1",0,0,3
"141",12178036,2013,"03","F",2,"1","Hispanic",0.515267175572519,0.114503816793893,0.557251908396947,524,"1",0,0,15.5
"142",12178036,2014,"04","F",2,"1","Hispanic",0.18936877076412,0.119601328903654,0.966777408637874,301,"0",0,0,5
"143",12178036,2015,"05","F",2,"1","Hispanic",0.152777777777778,0.121527777777778,0.923611111111111,288,"0",0,0,5.5
"144",12178036,2016,"06","F",2,"1","Hispanic",0.580952380952381,0.133333333333333,0.442857142857143,840,"0",0,0,4
"145",12178036,2017,"07","F",2,"0","Hispanic",0.241818181818182,0.214545454545455,0.730909090909091,550,"0",0,0,2
"146",11846535,2013,"03","M",0,"1","Black",0.451438848920863,0.0971223021582734,0.636690647482014,556,"1",1,1,6.5
"147",11846535,2014,"04","M",0,"1","Black",0.449557522123894,0.0991150442477876,0.642477876106195,565,"1",1,1,5
"148",11846535,2015,"05","M",0,"1","Black",0.4375,0.108928571428571,0.617857142857143,560,"1",0,0,5
"149",11846535,2016,"06","M",0,"1","Black",0.3856,0.2128,0.6048,625,"1",9,5,9.5
"150",11846535,2017,"07","M",0,"1","Black",0.366056572379368,0.229617304492512,0.607321131447587,601,"1",1,1,11.5
"151",11964979,2013,"03","F",0,"0","White",0.451438848920863,0.0971223021582734,0.636690647482014,556,"1",0,0,12
"152",11964979,2014,"04","F",0,"0","White",0.449557522123894,0.0991150442477876,0.642477876106195,565,"1",0,0,12
