"","STUDENT_ALTERNATE_ID","SCHOOL_YEAR_ID","GRADE_CODE","GENDER_CODE","ENGLISH_LEARNER_STATUS_CODE","SOCIO_ECON_STATUS_CODE","expend_per_student","Ethnicity","percentWhite","percentSPED","percentFRL","corpWhite","corpSPED","corpFRL","schoolSize","PLACEMENT_TYPE","discipline","absent"
"1",12171186,2013,"03","M",0,"0",NA,"White",0.946886446886447,0.15018315018315,0.283882783882784,0.956342668863262,0.113673805601318,0.271828665568369,546,"1",0,3
"2",12171186,2014,"04","M",0,"0",NA,"White",0.961199294532628,0.142857142857143,0.306878306878307,0.959967320261438,0.116013071895425,0.266339869281046,567,"1",0,4.5
"3",12171186,2015,"05","M",0,"0",NA,"White",0.951640759930915,0.139896373056995,0.267702936096718,0.954323001631321,0.110114192495922,0.249592169657423,579,"1",0,1.5
"4",12171186,2016,"06","M",0,"0",NA,"White",0.946236559139785,0.0501792114695341,0.268817204301075,0.940032414910859,0.102106969205835,0.255267423014587,279,"1",0,5
"5",12171186,2017,"07","M",0,"0",NA,"White",0.940520446096654,0.0594795539033457,0.24907063197026,0.934504792332268,0.0998402555910543,0.244408945686901,269,"1",0,3
"6",11899744,2013,"03","M",0,"0",NA,"Other",0.869565217391304,0.0662525879917184,0.194616977225673,0.825968043759896,0.081905858644019,0.150424643731107,483,"1",0,3.5
"7",11899744,2014,"04","M",0,"0",NA,"Other",0.843298969072165,0.0618556701030928,0.202061855670103,0.820833333333333,0.0806034482758621,0.148563218390805,485,"1",0,0
"8",11899744,2015,"05","M",0,"0",NA,"Other",0.885658914728682,0.062015503875969,0.178294573643411,0.815141596698449,0.0781272235662445,0.148854418670841,516,"1",0,0
"9",11899744,2016,"06","M",0,"0",NA,"Other",0.833568406205924,0.0860366713681241,0.159379407616361,0.812367341163153,0.0755624734682326,0.149143908306212,709,"1",0,4
"10",11899744,2017,"07","M",0,"0",NA,"Other",0.827195467422096,0.0934844192634561,0.169971671388102,0.805807622504537,0.075108194890409,0.144492531062404,706,"1",0,0.5
"11",11847633,2013,"03","M",0,"0",NA,"White",0.901960784313726,0.0833333333333333,0.166666666666667,0.825968043759896,0.081905858644019,0.150424643731107,408,"0",0,1
"12",11847633,2014,"04","M",0,"0",NA,"White",0.909333333333333,0.101333333333333,0.189333333333333,0.820833333333333,0.0806034482758621,0.148563218390805,375,"0",0,2
"13",11847633,2015,"05","M",0,"0",NA,"White",0.893899204244032,0.103448275862069,0.180371352785146,0.815141596698449,0.0781272235662445,0.148854418670841,377,"0",0,5
"14",11847633,2016,"06","M",0,"0",NA,"White",0.791501976284585,0.0701581027667984,0.136363636363636,0.812367341163153,0.0755624734682326,0.149143908306212,1012,"0",1,0.5
"15",11847633,2017,"07","M",0,"0",NA,"White",0.78702807357212,0.0706679574056147,0.135527589545015,0.805807622504537,0.075108194890409,0.144492531062404,1033,"0",0,2.5
"16",12220817,2013,"03","M",0,"0",NA,"White",0.863905325443787,0.153846153846154,0.390532544378698,0.871959409043426,0.112520519325474,0.171168482316072,169,"1",0,5
"17",12220817,2014,"04","M",0,"0",NA,"White",0.876404494382023,0.146067415730337,0.382022471910112,0.86613942589338,0.115700058582308,0.173550087873462,178,"1",0,3
"18",12220817,2015,"05","M",0,"0",NA,"White",0.837209302325581,0.151162790697674,0.38953488372093,0.865673779178004,0.110124588285837,0.174423600171846,172,"1",0,1
