"","STUDENT_ALTERNATE_ID","SCHOOL_YEAR_ID","GRADE_CODE","GENDER_CODE","ENGLISH_LEARNER_STATUS_CODE","SOCIO_ECON_STATUS_CODE","expend_per_student","Ethnicity","percentWhite","percentSPED","percentFRL","corpWhite","corpSPED","corpFRL","schoolSize","PLACEMENT_TYPE","discipline","absent"
"12017",12124041,2014,"04","M",0,"1",5774.8797172,"White",0.938983050847458,0.152542372881356,0.277966101694915,0.92033362093759,0.127408685648548,0.33592177164222,295,"1",0,1
"12018",12124041,2015,"05","M",0,"1",5471.8875259,"White",0.937293729372937,0.178217821782178,0.257425742574257,0.912842712842713,0.144011544011544,0.327849927849928,303,"1",1,7
"12019",12124041,2016,"06","M",0,"1",NA,"White",0.939467312348668,0.147699757869249,0.26634382566586,0.919593613933237,0.15732946298984,0.292017416545718,826,"1",2,0
"12020",12124041,2017,"07","M",0,"1",NA,"White",0.926208651399491,0.183206106870229,0.254452926208651,0.918762648164209,0.170858629661752,0.270309337958948,786,"1",0,0
"12021",12216017,2013,"03","F",0,"1",5982.2149636,"White",0.921686746987952,0.132530120481928,0.327309236947791,0.92354124748491,0.125323368784133,0.335728657660247,498,"1",0,6.5
"12022",12216017,2014,"04","F",0,"1",5774.8797172,"White",0.905432595573441,0.114688128772636,0.340040241448692,0.92033362093759,0.127408685648548,0.33592177164222,497,"1",0,10.5
"12023",12216017,2015,"05","F",0,"1",5471.8875259,"White",0.890909090909091,0.133333333333333,0.333333333333333,0.912842712842713,0.144011544011544,0.327849927849928,495,"1",0,13.5
"12024",12216017,2016,"06","F",0,"1",NA,"White",0.796246648793566,0.14745308310992,0.621983914209115,0.735285795132994,0.144453876627052,0.477504244482173,373,"0",0,7.5
"12025",12216017,2017,"07","F",0,"1",NA,"White",0.928774928774929,0.182336182336182,0.435897435897436,0.927627000695894,0.192762700069589,0.430758524704245,351,"1",0,1
"12026",12286371,2013,"03","F",0,"1",5982.2149636,"White",0.921686746987952,0.132530120481928,0.327309236947791,0.92354124748491,0.125323368784133,0.335728657660247,498,"1",0,2
"12027",12286371,2014,"04","F",0,"0",5538.1394883,"White",0.962818003913894,0.0978473581213307,0.299412915851272,0.954430379746835,0.108016877637131,0.285232067510549,511,"1",0,3
"12028",12286371,2015,"05","F",0,"1",5401.7721262,"White",0.962476547842402,0.121951219512195,0.320825515947467,0.948868398994132,0.123218776194468,0.275775356244761,533,"1",0,2
"12029",12286371,2016,"06","F",0,"0",NA,"White",0.947142857142857,0.151428571428571,0.44,0.946210268948655,0.150774246128769,0.448247758761206,700,"1",0,2
"12030",12286371,2017,"07","F",0,"0",NA,"White",0.952167414050822,0.15695067264574,0.373692077727952,0.943396226415094,0.171452009844135,0.40278917145201,669,"1",0,6
"12031",12172175,2013,"03","M",0,"1",5982.2149636,"White",0.932203389830508,0.155932203389831,0.477966101694915,0.92354124748491,0.125323368784133,0.335728657660247,295,"1",0,9
"12032",12172175,2014,"04","M",0,"1",5774.8797172,"White",0.912891986062718,0.205574912891986,0.560975609756098,0.92033362093759,0.127408685648548,0.33592177164222,287,"1",0,7
"12033",12172175,2015,"05","M",0,"1",5471.8875259,"White",0.901060070671378,0.250883392226148,0.554770318021201,0.912842712842713,0.144011544011544,0.327849927849928,283,"1",0,12
"12034",12172175,2016,"06","M",0,"1",NA,"White",0.939467312348668,0.147699757869249,0.26634382566586,0.919593613933237,0.15732946298984,0.292017416545718,826,"1",1,2
"12035",12172175,2017,"07","M",0,"1",NA,"White",0.926208651399491,0.183206106870229,0.254452926208651,0.918762648164209,0.170858629661752,0.270309337958948,786,"1",1,2
"12036",12195953,2013,"03","M",0,"1",5982.2149636,"White",0.932203389830508,0.155932203389831,0.477966101694915,0.92354124748491,0.125323368784133,0.335728657660247,295,"1",12,5
"12037",12195953,2014,"04","M",0,"1",5774.8797172,"White",0.912891986062718,0.205574912891986,0.560975609756098,0.92033362093759,0.127408685648548,0.33592177164222,287,"0",12,2
"12038",12195953,2015,"05","M",0,"1",5471.8875259,"White",0.901060070671378,0.250883392226148,0.554770318021201,0.912842712842713,0.144011544011544,0.327849927849928,283,"0",12,9
"12039",12195953,2016,"06","M",0,"1",NA,"White",0.939467312348668,0.147699757869249,0.26634382566586,0.919593613933237,0.15732946298984,0.292017416545718,826,"1",0,12
"12040",12195953,2017,"07","M",0,"0",NA,"White",0.926208651399491,0.183206106870229,0.254452926208651,0.918762648164209,0.170858629661752,0.270309337958948,786,"1",0,9.5
"12041",11928175,2013,"03","M",0,"1",6938.0760129,"Black",0.0366379310344828,0.176724137931034,0.696120689655172,0.0366379310344828,0.176724137931034,0.696120689655172,464,"1",0,5
"12042",11928175,2014,"04","M",0,"1",NA,"Black",0.0318352059925094,0.211610486891386,0.765917602996255,0.0318352059925094,0.211610486891386,0.765917602996255,534,"1",0,0
"12043",11928175,2015,"05","M",0,"1",NA,"Black",0.0368589743589744,0.200320512820513,0.475961538461538,0.0368589743589744,0.200320512820513,0.475961538461538,624,"0",0,10
"12044",11928175,2016,"06","M",0,"1",NA,"Black",0.0416666666666667,0.136904761904762,0.89484126984127,0.0416666666666667,0.136904761904762,0.89484126984127,504,"1",0,4
"12045",11928175,2017,"07","M",0,"1",NA,"Black",0.573905109489051,0.200729927007299,0.538321167883212,0.588762003633532,0.159356345704646,0.546327536984168,1096,"0",0,9
"12046",12229329,2013,"03","F",0,"0",6938.0760129,"Black",0.0366379310344828,0.176724137931034,0.696120689655172,0.0366379310344828,0.176724137931034,0.696120689655172,464,"1",0,11
"12047",12229329,2014,"04","F",0,"0",NA,"Black",0.0318352059925094,0.211610486891386,0.765917602996255,0.0318352059925094,0.211610486891386,0.765917602996255,534,"1",0,3
"12048",12229329,2015,"05","F",0,"0",NA,"Black",0.0368589743589744,0.200320512820513,0.475961538461538,0.0368589743589744,0.200320512820513,0.475961538461538,624,"0",0,18
"12049",12229329,2016,"06","F",0,"1",NA,"Black",0.613220815752461,0.172995780590717,0.582278481012658,0.605361999740966,0.149980572464707,0.538013210723999,711,"1",0,1
"12050",12229329,2017,"07","F",0,"1",NA,"Black",0.581159420289855,0.160869565217391,0.57536231884058,0.588762003633532,0.159356345704646,0.546327536984168,690,"1",0,1.5
